timestamp,time_string,cf
1753903232.032,2025-07-30 14:20:32,0.44187453
1753904012.032,2025-07-30 14:33:32,0.031014677
1753904792.032,2025-07-30 14:46:32,0.024463637
1753905572.033,2025-07-30 14:59:32,0.016
1753906352.033,2025-07-30 15:12:32,0.015481223
1753907132.032,2025-07-30 15:25:32,0.016070122
1753907912.032,2025-07-30 15:38:32,0.015557885
1753908692.032,2025-07-30 15:51:32,0.015
1753909472.032,2025-07-30 16:04:32,0.015972896
1753910252.032,2025-07-30 16:17:32,0.018
1753911032.027,2025-07-30 16:30:32,0.015232639
1753911812.026,2025-07-30 16:43:32,nan
1753912592.025,2025-07-30 16:56:32,0.015745567
1753913372.023,2025-07-30 17:09:32,0.015651904
1753914152.022,2025-07-30 17:22:32,0.0155271515
1753914932.029,2025-07-30 17:35:32,0.01512358
1753915712.033,2025-07-30 17:48:32,0.014520163
1753916492.035,2025-07-30 18:01:32,0.015
1753917272.033,2025-07-30 18:14:32,0.0145
1753918052.034,2025-07-30 18:27:32,0.013
1753918832.033,2025-07-30 18:40:32,0.013
1753919612.032,2025-07-30 18:53:32,0.013477973
1753920392.032,2025-07-30 19:06:32,0.01480546
1753921172.032,2025-07-30 19:19:32,0.012504481
1753921952.032,2025-07-30 19:32:32,0.012730039
1753922732.033,2025-07-30 19:45:32,0.0118508
1753923512.032,2025-07-30 19:58:32,0.011568395
1753924292.032,2025-07-30 20:11:32,0.010815431
1753925072.032,2025-07-30 20:24:32,0.012333253
1753925852.032,2025-07-30 20:37:32,0.013488991
1753926632.033,2025-07-30 20:50:32,0.014257379
1753927412.03,2025-07-30 21:03:32,0.01474443
1753928192.03,2025-07-30 21:16:32,0.016794901
1753928972.03,2025-07-30 21:29:32,0.018051999
1753929752.031,2025-07-30 21:42:32,0.017604606
1753930532.032,2025-07-30 21:55:32,0.016467575
1753931312.029,2025-07-30 22:08:32,0.017530445
1753932092.028,2025-07-30 22:21:32,0.016599884
1753932872.027,2025-07-30 22:34:32,0.014793687
1753933652.027,2025-07-30 22:47:32,0.014283219
1753934432.026,2025-07-30 23:00:32,0.0155
1753935212.029,2025-07-30 23:13:32,0.014
1753935992.032,2025-07-30 23:26:32,0.014700047
1753936772.034,2025-07-30 23:39:32,0.01491579
1753937552.03,2025-07-30 23:52:32,0.014878733
1753938332.029,2025-07-31 00:05:32,0.014245579
1753939112.029,2025-07-31 00:18:32,0.015
1753939892.032,2025-07-31 00:31:32,0.0154447
1753940672.033,2025-07-31 00:44:32,0.016033318
1753941452.033,2025-07-31 00:57:32,0.016825717
1753942232.032,2025-07-31 01:10:32,0.016
1753943012.032,2025-07-31 01:23:32,0.016448166
1753943792.029,2025-07-31 01:36:32,0.018
1753944572.027,2025-07-31 01:49:32,0.01966964
1753945352.028,2025-07-31 02:02:32,0.019
1753946132.032,2025-07-31 02:15:32,0.019
1753946912.032,2025-07-31 02:28:32,0.01696394
1753947692.032,2025-07-31 02:41:32,0.017
1753948472.032,2025-07-31 02:54:32,0.017
1753949252.032,2025-07-31 03:07:32,0.016
1753950032.029,2025-07-31 03:20:32,0.017
1753950812.027,2025-07-31 03:33:32,0.017
1753951592.029,2025-07-31 03:46:32,0.015
1753952372.03,2025-07-31 03:59:32,0.015
1753953152.031,2025-07-31 04:12:32,0.014767062
1753953932.033,2025-07-31 04:25:32,0.01204334
1753954712.033,2025-07-31 04:38:32,0.012741058
1753955492.033,2025-07-31 04:51:32,0.015701406
1753956272.033,2025-07-31 05:04:32,0.014
1753957052.033,2025-07-31 05:17:32,0.015967935
1753957832.032,2025-07-31 05:30:32,0.014631259
1753958612.032,2025-07-31 05:43:32,0.014212605
1753959392.032,2025-07-31 05:56:32,0.012655432
1753960172.032,2025-07-31 06:09:32,0.018730272
1753960952.032,2025-07-31 06:22:32,0.01795817
1753961732.032,2025-07-31 06:35:32,0.021196522
1753962512.032,2025-07-31 06:48:32,0.023967464
1753963292.032,2025-07-31 07:01:32,0.018730816
1753964072.032,2025-07-31 07:14:32,0.014390083
1753964852.032,2025-07-31 07:27:32,0.016433
1753965632.032,2025-07-31 07:40:32,0.01587872
1753966412.032,2025-07-31 07:53:32,0.016066052
1753967192.032,2025-07-31 08:06:32,0.0141520575
1753967972.032,2025-07-31 08:19:32,0.01436329
1753968752.032,2025-07-31 08:32:32,0.014201359
1753969532.032,2025-07-31 08:45:32,0.015690556
1753970312.032,2025-07-31 08:58:32,0.01521543
1753971092.032,2025-07-31 09:11:32,0.014826473
1753971872.032,2025-07-31 09:24:32,0.015888954
1753972652.032,2025-07-31 09:37:32,0.01602924
1753973432.032,2025-07-31 09:50:32,0.017403342
1753974212.032,2025-07-31 10:03:32,0.01710688
1753974992.032,2025-07-31 10:16:32,0.017
1753975772.032,2025-07-31 10:29:32,0.017505402
1753976552.032,2025-07-31 10:42:32,0.016865741
1753977332.032,2025-07-31 10:55:32,0.016
1753978112.03,2025-07-31 11:08:32,0.016313363
1753978892.026,2025-07-31 11:21:32,0.01643242
1753979672.024,2025-07-31 11:34:32,0.017106496
1753980452.024,2025-07-31 11:47:32,0.017008234
1753981232.024,2025-07-31 12:00:32,0.016409501
1753982012.023,2025-07-31 12:13:32,0.015304257
1753982792.022,2025-07-31 12:26:32,0.017569272
1753983572.024,2025-07-31 12:39:32,0.017914947
1753984352.024,2025-07-31 12:52:32,0.016
1753985132.025,2025-07-31 13:05:32,0.015682235
1753985912.032,2025-07-31 13:18:32,0.01658117
1753986692.034,2025-07-31 13:31:32,0.04496022
1753987472.034,2025-07-31 13:44:32,0.016
1753988252.033,2025-07-31 13:57:32,0.017
1753989032.033,2025-07-31 14:10:32,0.017971026
1753989812.033,2025-07-31 14:23:32,0.01809563
1753990592.032,2025-07-31 14:36:32,0.01663478
1753991372.032,2025-07-31 14:49:32,0.016981775
1753992152.032,2025-07-31 15:02:32,0.015941793
1753992932.032,2025-07-31 15:15:32,0.016393974
1753993712.03,2025-07-31 15:28:32,0.017588058
1753994492.031,2025-07-31 15:41:32,0.015568835
1753995272.03,2025-07-31 15:54:32,0.015783286
1753996052.03,2025-07-31 16:07:32,0.015198888
1753996832.03,2025-07-31 16:20:32,0.01613737
1753997612.03,2025-07-31 16:33:32,0.014812863
1753998392.029,2025-07-31 16:46:32,0.013674275
1753999172.029,2025-07-31 16:59:32,0.015644664
1753999952.029,2025-07-31 17:12:32,0.016542403
1754000732.028,2025-07-31 17:25:32,0.015463599
1754001512.028,2025-07-31 17:38:32,0.014934526
1754002292.029,2025-07-31 17:51:32,nan
1754003072.03,2025-07-31 18:04:32,0.015831735
1754003852.031,2025-07-31 18:17:32,0.015
1754004632.032,2025-07-31 18:30:32,0.015
1754005412.033,2025-07-31 18:43:32,0.015
1754006192.03,2025-07-31 18:56:32,0.016
1754006972.029,2025-07-31 19:09:32,0.01808777
1754007752.03,2025-07-31 19:22:32,0.012384241
1754008532.031,2025-07-31 19:35:32,0.012932021
1754009312.032,2025-07-31 19:48:32,0.012273661
1754010092.029,2025-07-31 20:01:32,0.020499911
1754010872.027,2025-07-31 20:14:32,0.012497622
1754011652.026,2025-07-31 20:27:32,0.014321346
1754012432.031,2025-07-31 20:40:32,0.013625649
1754013212.033,2025-07-31 20:53:32,0.0149440635
1754013992.033,2025-07-31 21:06:32,0.015
1754014772.032,2025-07-31 21:19:32,0.015
1754015552.032,2025-07-31 21:32:32,0.015
1754016332.032,2025-07-31 21:45:32,0.017
1754017112.033,2025-07-31 21:58:32,0.01561602
1754017892.033,2025-07-31 22:11:32,0.01583609
1754018672.032,2025-07-31 22:24:32,0.014969717
1754019452.032,2025-07-31 22:37:32,0.014
1754020232.031,2025-07-31 22:50:32,0.0135
1754021012.03,2025-07-31 23:03:32,0.015016303
1754021792.029,2025-07-31 23:16:32,0.011447824
1754022572.032,2025-07-31 23:29:32,0.01601938
1754023352.032,2025-07-31 23:42:32,0.016009035
1754024498.033,2025-08-01 00:01:38,0.016937181
1754025278.032,2025-08-01 00:14:38,0.015764548
1754026058.032,2025-08-01 00:27:38,0.015
1754026838.03,2025-08-01 00:40:38,0.014
1754027618.03,2025-08-01 00:53:38,0.016
1754028398.031,2025-08-01 01:06:38,0.0165
1754029178.032,2025-08-01 01:19:38,0.016517228
1754029958.032,2025-08-01 01:32:38,0.0165
1754030738.031,2025-08-01 01:45:38,0.01469573
1754031518.03,2025-08-01 01:58:38,0.015828196
1754032298.03,2025-08-01 02:11:38,0.017413259
1754033078.031,2025-08-01 02:24:38,0.016618557
1754033858.032,2025-08-01 02:37:38,0.017091086
1754034638.032,2025-08-01 02:50:38,0.015
1754035418.032,2025-08-01 03:03:38,0.014160138
1754036198.032,2025-08-01 03:16:38,0.014428508
1754036978.032,2025-08-01 03:29:38,0.01445758
1754037758.032,2025-08-01 03:42:38,0.014441354
1754038538.033,2025-08-01 03:55:38,0.014
1754039318.032,2025-08-01 04:08:38,0.015304729
1754040098.032,2025-08-01 04:21:38,0.013902051
1754040878.031,2025-08-01 04:34:38,0.013925979
1754041658.03,2025-08-01 04:47:38,0.017392103
1754042438.03,2025-08-01 05:00:38,0.0130531695
1754043218.03,2025-08-01 05:13:38,0.013776676
1754043998.03,2025-08-01 05:26:38,0.013893978
1754044778.031,2025-08-01 05:39:38,0.01856625
1754045558.032,2025-08-01 05:52:38,0.011647273
1754046338.033,2025-08-01 06:05:38,0.022802796
1754047118.031,2025-08-01 06:18:38,0.017550964
1754047898.03,2025-08-01 06:31:38,0.017422443
1754048678.03,2025-08-01 06:44:38,0.016828213
1754049458.03,2025-08-01 06:57:38,0.016336726
1754050238.03,2025-08-01 07:10:38,0.017199423
1754051018.03,2025-08-01 07:23:38,0.0159132
1754051798.03,2025-08-01 07:36:38,0.015382034
1754052578.03,2025-08-01 07:49:38,0.0149497865
1754053358.032,2025-08-01 08:02:38,0.015745983
1754054138.032,2025-08-01 08:15:38,0.014201588
1754054918.033,2025-08-01 08:28:38,0.01754065
1754055698.032,2025-08-01 08:41:38,0.015
1754056478.032,2025-08-01 08:54:38,0.015917215
1754057258.032,2025-08-01 09:07:38,0.014827344
1754058038.032,2025-08-01 09:20:38,0.0148610445
1754058818.032,2025-08-01 09:33:38,0.016003402
1754059598.03,2025-08-01 09:46:38,0.016109984
1754060378.03,2025-08-01 09:59:38,0.016
1754061158.03,2025-08-01 10:12:38,0.01561559
1754061938.03,2025-08-01 10:25:38,0.016
1754062718.03,2025-08-01 10:38:38,0.016
1754063498.03,2025-08-01 10:51:38,0.0149
1754064278.031,2025-08-01 11:04:38,0.0149
1754065058.031,2025-08-01 11:17:38,0.015
1754065838.032,2025-08-01 11:30:38,0.015398576
1754066618.032,2025-08-01 11:43:38,0.015018783
1754067398.031,2025-08-01 11:56:38,0.0152162
1754068178.031,2025-08-01 12:09:38,0.013407541
1754068958.03,2025-08-01 12:22:38,0.015342456
1754069738.032,2025-08-01 12:35:38,0.014705119
1754070518.032,2025-08-01 12:48:38,0.015893642
1754071298.033,2025-08-01 13:01:38,0.01682426
1754072078.033,2025-08-01 13:14:38,0.01617827
1754072858.034,2025-08-01 13:27:38,0.016
1754073638.032,2025-08-01 13:40:38,0.016010847
1754074418.032,2025-08-01 13:53:38,0.015
1754075198.032,2025-08-01 14:06:38,0.0151
1754075978.031,2025-08-01 14:19:38,0.015070483
1754076758.03,2025-08-01 14:32:38,0.014866707
1754077538.031,2025-08-01 14:45:38,0.014
1754078318.032,2025-08-01 14:58:38,0.015081927
1754079098.032,2025-08-01 15:11:38,0.015
1754079878.031,2025-08-01 15:24:38,0.015
1754080658.029,2025-08-01 15:37:38,0.016
1754081438.029,2025-08-01 15:50:38,0.01651634
1754082218.031,2025-08-01 16:03:38,0.015477377
1754082998.029,2025-08-01 16:16:38,0.015106427
1754083778.031,2025-08-01 16:29:38,0.01608404
1754084558.032,2025-08-01 16:42:38,0.015391502
1754085338.033,2025-08-01 16:55:38,0.014815942
1754086118.032,2025-08-01 17:08:38,0.016368337
1754086898.032,2025-08-01 17:21:38,0.015719017
1754087678.03,2025-08-01 17:34:38,0.014065144
1754088458.025,2025-08-01 17:47:38,0.0146165695
1754089238.022,2025-08-01 18:00:38,0.014
1754090018.02,2025-08-01 18:13:38,0.015
1754090798.019,2025-08-01 18:26:38,0.014758327
1754091578.017,2025-08-01 18:39:38,0.013
1754092358.028,2025-08-01 18:52:38,0.013905493
1754093138.032,2025-08-01 19:05:38,0.014
1754093918.033,2025-08-01 19:18:38,0.014550567
1754094698.034,2025-08-01 19:31:38,0.014088206
1754095478.035,2025-08-01 19:44:38,0.013912297
1754096258.032,2025-08-01 19:57:38,0.014331453
1754097038.031,2025-08-01 20:10:38,0.01725801
1754097818.031,2025-08-01 20:23:38,0.015430937
1754098598.032,2025-08-01 20:36:38,0.015011465
1754099378.032,2025-08-01 20:49:38,0.017777743
1754100158.032,2025-08-01 21:02:38,0.016243491
1754100938.032,2025-08-01 21:15:38,0.017011069
1754101718.032,2025-08-01 21:28:38,0.012734617
1754102498.032,2025-08-01 21:41:38,0.01612517
1754103278.032,2025-08-01 21:54:38,0.01703952
1754104058.032,2025-08-01 22:07:38,0.0168
1754104838.032,2025-08-01 22:20:38,0.014616594
1754105618.032,2025-08-01 22:33:38,0.015921488
1754106398.033,2025-08-01 22:46:38,0.015293882
1754107178.032,2025-08-01 22:59:38,0.0150270425
1754107958.032,2025-08-01 23:12:38,0.015352785
1754108738.03,2025-08-01 23:25:38,0.014719314
1754109518.03,2025-08-01 23:38:38,0.016591312
1754110898.03,2025-08-02 00:01:38,0.017333237
1754111678.031,2025-08-02 00:14:38,0.016
1754112458.031,2025-08-02 00:27:38,0.0175
1754113238.032,2025-08-02 00:40:38,0.016
1754114018.033,2025-08-02 00:53:38,0.018313808
1754114798.032,2025-08-02 01:06:38,0.0178
1754115578.033,2025-08-02 01:19:38,0.017
1754116358.032,2025-08-02 01:32:38,0.015963938
1754117138.032,2025-08-02 01:45:38,0.018
1754117918.032,2025-08-02 01:58:38,0.018690113
1754118698.032,2025-08-02 02:11:38,0.018298581
1754119478.032,2025-08-02 02:24:38,0.018
1754120258.032,2025-08-02 02:37:38,0.018
1754121038.031,2025-08-02 02:50:38,0.018
1754121818.031,2025-08-02 03:03:38,0.018631842
1754122598.031,2025-08-02 03:16:38,0.014629294
1754123378.031,2025-08-02 03:29:38,0.01383377
