Angle,CC,CHIRP
277,0.0,-0.876
278,0.0,2.2239
279,0.0,5.94
280,0.0,9.0093
281,2.7791,12.4705
282,2.1155,16.5032
283,3.0737,17.7038
284,6.7598,18.6981
285,7.3658,18.188
286,1.4548,14.6048
287,0.0,8.0682
288,0.0,2.4661
289,0.0,4.5363
290,0.0,2.9806
291,0.0,3.4783
292,0.0,2.6037
293,0.0,0.8777
294,0.0,1.5619
295,0.0,0.3173
296,0.0,4.2951
297,-1.7378,10.8521
298,-0.7107,11.4727
299,0.1084,12.5393
300,3.232,14.0398
301,2.3937,15.2532
302,3.7999,14.5327
303,1.7687,13.5851
304,3.2246,14.4075
305,6.4873,15.8999
306,5.3164,17.3429
307,9.2496,18.9441
308,6.0882,18.9529
309,5.3112,19.0241
310,8.112,22.1461
311,11.4545,23.5804
312,11.5359,23.3984
313,7.4805,21.8862
314,4.1341,19.7752
315,2.2349,22.8708
316,0.0,21.778
317,10.2327,23.8742
318,9.6423,25.3733
319,10.2698,26.8008
320,0.0,25.8167
321,0.0,24.3903
322,8.3019,25.673
323,6.1064,20.4198
324,4.8443,17.5912
325,2.8939,13.081
326,4.9162,10.7186
327,0.7696,8.2205
328,0.0,7.4331
329,0.0,2.9871
330,0.0,4.4384
331,-0.5219,8.7072
332,0.5075,12.415
333,9.2046,15.1126
334,2.0652,12.7876
335,0.0,5.8733
336,0.0,4.6959
337,0.0,6.1265
338,4.0449,14.5628
339,7.2941,17.8284
340,8.6481,17.8057
341,10.8502,17.9869
342,11.2845,18.863
343,11.9283,21.8696
344,12.4772,23.0397
345,11.389,19.6628
346,11.4968,18.1994
347,8.8071,16.4239
348,8.9274,16.9212
349,10.895,14.5636
350,6.1288,10.6935
351,1.9404,9.9915
352,0.8524,8.1511
353,1.4031,8.1371
354,4.4866,13.6584
355,4.2871,13.5894
356,5.8747,12.6674
357,4.3572,9.8933
358,14.1437,-3.9905
359,11.236,9.7477
